ID;CODE;WALLET;SOURCE;
0;5uhrgX;0x2780ea316e65218848747f34018aCF9B43Dc4fb1;Physical Sale;
1;4KndDA;0x0F0B25669ef0753287923EA6E0c8aE3Cd64208bE;Physical Sale;
2;3p8saH;0xE92E037FA2f622cd5421c1e2D88AAD0f0A74df10;Physical Sale;
3;32BFqc;0x0063049B37b0fE4978BB3556e2379802130069EF;Physical Sale;
4;2P7Zo1;0xE0bfD33e7c0E49dFdF4f6Cad628d2d2533042DF0;Physical Sale;
5;3Xq1UY;0x3653346baEeC4C694ec32B9bAEb03b08DFD002f5;Physical Sale;
6;VDzvy;0xd39e38acDdBaAaF32Ba49c81e4212317D8664752;Physical Sale;
7;2V3WvS;0xfC89a556e82c63e1A6b379b416Ec8D9F3187cD1d;Physical Sale;
8;3WM2CF;0xddA83b9c5D7Bff349A9C150C4D8148478eCB88c4;Physical Sale;
9;4utLhE;0x4bc523a1186d23b8a4e8D3022F852ac93547749b;Physical Sale;
10;4kzR1B;0x1BB39f3aB357d6432d0f44fb2Cc25871B4FD6F37;Physical Sale;
11;3y2oGW;0x643F185a32e537c60e3711A47587F4dd146C2b7C;Physical Sale;
12;2ZVUmZ;0x6e84783AB2646600fE83e9eB1664fcceDD91f520;Physical Sale;
13;6aFY1i;0x32F81E28FEE9F452EB5Db23bc944f34D6F4Ff4c3;Physical Sale;
14;3QR54y;0x9A4453aF1Bf47130E152C39e6002F7f89B47adCa;Physical Sale;
15;5M68VC;0x502332D6168aC9FF4526E6B84D33696a358d13F0;Physical Sale;
16;3ZJzm5;0xC0352278993b9075FE617590636B4dE4e84eb2cd;Physical Sale;
17;5Vz4BJ;0x2d10971eaB1B47f718eC836fAfb74eA19Fa6A875;Physical Sale;
18;7U96ss;0x4fbF9aD870D4b6F0Cb4cA6c1989bdD4a00c3c812;Physical Sale;
19;7EoDLn;0x20570bD76Af1ef75C48ee15c1F75613Fb407a71F;Physical Sale;
20;5jKwiT;0x16391a15384F1409fFa13Fe503BCDCcE7DfD0820;Physical Sale;
